id,language,sector,solution,intent,query,canonical_url,status,indexed,search_signal,ai_citation
34,tr,Finans & Bankacılık,Site ve Katalog AI Uyumluluğu,commercial,Finans & Bankacılık için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
35,tr,Finans & Bankacılık,Site ve Katalog AI Uyumluluğu,compare,Finans & Bankacılık AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
36,tr,Finans & Bankacılık,İçerik ve Kreatif Üretim Sistemi,problem,Finans & Bankacılık sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
37,tr,Finans & Bankacılık,İçerik ve Kreatif Üretim Sistemi,how,Finans & Bankacılık için İçerik ve Kreatif Üretim Sistemi hangi veriyi ister?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
38,tr,Finans & Bankacılık,İçerik ve Kreatif Üretim Sistemi,risk,Finans & Bankacılık otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
39,tr,Finans & Bankacılık,İçerik ve Kreatif Üretim Sistemi,commercial,Finans & Bankacılık için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
40,tr,Finans & Bankacılık,İçerik ve Kreatif Üretim Sistemi,compare,Finans & Bankacılık AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
41,tr,Finans & Bankacılık,Etkileşimli Teklif ve Hesaplayıcı,problem,Finans & Bankacılık sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
42,tr,Finans & Bankacılık,Etkileşimli Teklif ve Hesaplayıcı,how,Finans & Bankacılık için Etkileşimli Teklif ve Hesaplayıcı hangi veriyi ister?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
43,tr,Finans & Bankacılık,Etkileşimli Teklif ve Hesaplayıcı,risk,Finans & Bankacılık otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
44,tr,Finans & Bankacılık,Etkileşimli Teklif ve Hesaplayıcı,commercial,Finans & Bankacılık için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
45,tr,Finans & Bankacılık,Etkileşimli Teklif ve Hesaplayıcı,compare,Finans & Bankacılık AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
46,tr,Finans & Bankacılık,Sesli Not ve Saha İş Akışı,problem,Finans & Bankacılık sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
47,tr,Finans & Bankacılık,Sesli Not ve Saha İş Akışı,how,Finans & Bankacılık için Sesli Not ve Saha İş Akışı hangi veriyi ister?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
48,tr,Finans & Bankacılık,Sesli Not ve Saha İş Akışı,risk,Finans & Bankacılık otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
49,tr,Finans & Bankacılık,Sesli Not ve Saha İş Akışı,commercial,Finans & Bankacılık için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
50,tr,Finans & Bankacılık,Sesli Not ve Saha İş Akışı,compare,Finans & Bankacılık AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/finans-bankacilik.html,planned,unknown,unknown,unknown
51,tr,E-Ticaret & Perakende,Müşteri Talebi ve Satış Takibi,problem,E-Ticaret & Perakende sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
52,tr,E-Ticaret & Perakende,Müşteri Talebi ve Satış Takibi,how,E-Ticaret & Perakende için Müşteri Talebi ve Satış Takibi hangi veriyi ister?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
53,tr,E-Ticaret & Perakende,Müşteri Talebi ve Satış Takibi,risk,E-Ticaret & Perakende otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
54,tr,E-Ticaret & Perakende,Müşteri Talebi ve Satış Takibi,commercial,E-Ticaret & Perakende için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
55,tr,E-Ticaret & Perakende,Müşteri Talebi ve Satış Takibi,compare,E-Ticaret & Perakende AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
56,tr,E-Ticaret & Perakende,Site ve Katalog AI Uyumluluğu,problem,E-Ticaret & Perakende sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
57,tr,E-Ticaret & Perakende,Site ve Katalog AI Uyumluluğu,how,E-Ticaret & Perakende için Site ve Katalog AI Uyumluluğu hangi veriyi ister?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
58,tr,E-Ticaret & Perakende,Site ve Katalog AI Uyumluluğu,risk,E-Ticaret & Perakende otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
59,tr,E-Ticaret & Perakende,Site ve Katalog AI Uyumluluğu,commercial,E-Ticaret & Perakende için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
60,tr,E-Ticaret & Perakende,Site ve Katalog AI Uyumluluğu,compare,E-Ticaret & Perakende AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
61,tr,E-Ticaret & Perakende,İçerik ve Kreatif Üretim Sistemi,problem,E-Ticaret & Perakende sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
62,tr,E-Ticaret & Perakende,İçerik ve Kreatif Üretim Sistemi,how,E-Ticaret & Perakende için İçerik ve Kreatif Üretim Sistemi hangi veriyi ister?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
63,tr,E-Ticaret & Perakende,İçerik ve Kreatif Üretim Sistemi,risk,E-Ticaret & Perakende otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
64,tr,E-Ticaret & Perakende,İçerik ve Kreatif Üretim Sistemi,commercial,E-Ticaret & Perakende için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
65,tr,E-Ticaret & Perakende,İçerik ve Kreatif Üretim Sistemi,compare,E-Ticaret & Perakende AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
66,tr,E-Ticaret & Perakende,Etkileşimli Teklif ve Hesaplayıcı,problem,E-Ticaret & Perakende sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
67,tr,E-Ticaret & Perakende,Etkileşimli Teklif ve Hesaplayıcı,how,E-Ticaret & Perakende için Etkileşimli Teklif ve Hesaplayıcı hangi veriyi ister?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
68,tr,E-Ticaret & Perakende,Etkileşimli Teklif ve Hesaplayıcı,risk,E-Ticaret & Perakende otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
69,tr,E-Ticaret & Perakende,Etkileşimli Teklif ve Hesaplayıcı,commercial,E-Ticaret & Perakende için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
70,tr,E-Ticaret & Perakende,Etkileşimli Teklif ve Hesaplayıcı,compare,E-Ticaret & Perakende AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
71,tr,E-Ticaret & Perakende,Sesli Not ve Saha İş Akışı,problem,E-Ticaret & Perakende sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
72,tr,E-Ticaret & Perakende,Sesli Not ve Saha İş Akışı,how,E-Ticaret & Perakende için Sesli Not ve Saha İş Akışı hangi veriyi ister?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
73,tr,E-Ticaret & Perakende,Sesli Not ve Saha İş Akışı,risk,E-Ticaret & Perakende otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
74,tr,E-Ticaret & Perakende,Sesli Not ve Saha İş Akışı,commercial,E-Ticaret & Perakende için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
75,tr,E-Ticaret & Perakende,Sesli Not ve Saha İş Akışı,compare,E-Ticaret & Perakende AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/e-ticaret.html,planned,unknown,unknown,unknown
76,tr,Emlak,Müşteri Talebi ve Satış Takibi,problem,Emlak sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
77,tr,Emlak,Müşteri Talebi ve Satış Takibi,how,Emlak için Müşteri Talebi ve Satış Takibi hangi veriyi ister?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
78,tr,Emlak,Müşteri Talebi ve Satış Takibi,risk,Emlak otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
79,tr,Emlak,Müşteri Talebi ve Satış Takibi,commercial,Emlak için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
80,tr,Emlak,Müşteri Talebi ve Satış Takibi,compare,Emlak AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
81,tr,Emlak,Site ve Katalog AI Uyumluluğu,problem,Emlak sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
82,tr,Emlak,Site ve Katalog AI Uyumluluğu,how,Emlak için Site ve Katalog AI Uyumluluğu hangi veriyi ister?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
83,tr,Emlak,Site ve Katalog AI Uyumluluğu,risk,Emlak otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
84,tr,Emlak,Site ve Katalog AI Uyumluluğu,commercial,Emlak için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
85,tr,Emlak,Site ve Katalog AI Uyumluluğu,compare,Emlak AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
86,tr,Emlak,İçerik ve Kreatif Üretim Sistemi,problem,Emlak sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
87,tr,Emlak,İçerik ve Kreatif Üretim Sistemi,how,Emlak için İçerik ve Kreatif Üretim Sistemi hangi veriyi ister?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
88,tr,Emlak,İçerik ve Kreatif Üretim Sistemi,risk,Emlak otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
89,tr,Emlak,İçerik ve Kreatif Üretim Sistemi,commercial,Emlak için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
90,tr,Emlak,İçerik ve Kreatif Üretim Sistemi,compare,Emlak AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
91,tr,Emlak,Etkileşimli Teklif ve Hesaplayıcı,problem,Emlak sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
92,tr,Emlak,Etkileşimli Teklif ve Hesaplayıcı,how,Emlak için Etkileşimli Teklif ve Hesaplayıcı hangi veriyi ister?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
93,tr,Emlak,Etkileşimli Teklif ve Hesaplayıcı,risk,Emlak otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
94,tr,Emlak,Etkileşimli Teklif ve Hesaplayıcı,commercial,Emlak için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
95,tr,Emlak,Etkileşimli Teklif ve Hesaplayıcı,compare,Emlak AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
96,tr,Emlak,Sesli Not ve Saha İş Akışı,problem,Emlak sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
97,tr,Emlak,Sesli Not ve Saha İş Akışı,how,Emlak için Sesli Not ve Saha İş Akışı hangi veriyi ister?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
98,tr,Emlak,Sesli Not ve Saha İş Akışı,risk,Emlak otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
99,tr,Emlak,Sesli Not ve Saha İş Akışı,commercial,Emlak için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
100,tr,Emlak,Sesli Not ve Saha İş Akışı,compare,Emlak AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/emlak.html,planned,unknown,unknown,unknown
101,tr,Hukuk & Uyum,Müşteri Talebi ve Satış Takibi,problem,Hukuk & Uyum sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
102,tr,Hukuk & Uyum,Müşteri Talebi ve Satış Takibi,how,Hukuk & Uyum için Müşteri Talebi ve Satış Takibi hangi veriyi ister?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
103,tr,Hukuk & Uyum,Müşteri Talebi ve Satış Takibi,risk,Hukuk & Uyum otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
104,tr,Hukuk & Uyum,Müşteri Talebi ve Satış Takibi,commercial,Hukuk & Uyum için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
105,tr,Hukuk & Uyum,Müşteri Talebi ve Satış Takibi,compare,Hukuk & Uyum AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
106,tr,Hukuk & Uyum,Site ve Katalog AI Uyumluluğu,problem,Hukuk & Uyum sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
107,tr,Hukuk & Uyum,Site ve Katalog AI Uyumluluğu,how,Hukuk & Uyum için Site ve Katalog AI Uyumluluğu hangi veriyi ister?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
108,tr,Hukuk & Uyum,Site ve Katalog AI Uyumluluğu,risk,Hukuk & Uyum otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
109,tr,Hukuk & Uyum,Site ve Katalog AI Uyumluluğu,commercial,Hukuk & Uyum için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
110,tr,Hukuk & Uyum,Site ve Katalog AI Uyumluluğu,compare,Hukuk & Uyum AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
111,tr,Hukuk & Uyum,İçerik ve Kreatif Üretim Sistemi,problem,Hukuk & Uyum sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
112,tr,Hukuk & Uyum,İçerik ve Kreatif Üretim Sistemi,how,Hukuk & Uyum için İçerik ve Kreatif Üretim Sistemi hangi veriyi ister?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
113,tr,Hukuk & Uyum,İçerik ve Kreatif Üretim Sistemi,risk,Hukuk & Uyum otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
114,tr,Hukuk & Uyum,İçerik ve Kreatif Üretim Sistemi,commercial,Hukuk & Uyum için 14 günlük shadow pilot nedir?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
115,tr,Hukuk & Uyum,İçerik ve Kreatif Üretim Sistemi,compare,Hukuk & Uyum AI otomasyonunda hangi kanıt güvenilir?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
116,tr,Hukuk & Uyum,Etkileşimli Teklif ve Hesaplayıcı,problem,Hukuk & Uyum sürecinde en sık otomasyon kaybı nerede oluşur?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
117,tr,Hukuk & Uyum,Etkileşimli Teklif ve Hesaplayıcı,how,Hukuk & Uyum için Etkileşimli Teklif ve Hesaplayıcı hangi veriyi ister?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
118,tr,Hukuk & Uyum,Etkileşimli Teklif ve Hesaplayıcı,risk,Hukuk & Uyum otomasyonunda hassas veri nasıl sınırlandırılır?,https://synapseautomate.github.io/sektorler/hukuk-uyum.html,planned,unknown,unknown,unknown
